"time","group","sim","state","value"
52,1,3,"S",0.215
53,1,3,"S",0.193
54,1,3,"S",0.191
55,1,3,"S",0.176
56,1,3,"S",0.17
57,1,3,"S",0.17
58,1,3,"S",0.166
59,1,3,"S",0.166
60,1,3,"S",0.155
61,1,3,"S",0.148
62,1,3,"S",0.148
63,1,3,"S",0.144
64,1,3,"S",0.155
65,1,3,"S",0.15
66,1,3,"S",0.15
67,1,3,"S",0.162
68,1,3,"S",0.164
69,1,3,"S",0.168
70,1,3,"S",0.176
71,1,3,"S",0.173
72,1,3,"S",0.18
73,1,3,"S",0.166
74,1,3,"S",0.164
75,1,3,"S",0.171
76,1,3,"S",0.176
77,1,3,"S",0.179
78,1,3,"S",0.181
79,1,3,"S",0.183
80,1,3,"S",0.189
1,1,3,"I",0.005
2,1,3,"I",0.004
3,1,3,"I",0.004
4,1,3,"I",0.004
5,1,3,"I",0.005
6,1,3,"I",0.005
7,1,3,"I",0.005
8,1,3,"I",0.006
9,1,3,"I",0.006
10,1,3,"I",0.007
11,1,3,"I",0.009
12,1,3,"I",0.011
13,1,3,"I",0.015
14,1,3,"I",0.016
15,1,3,"I",0.018
16,1,3,"I",0.022
17,1,3,"I",0.025
18,1,3,"I",0.03
19,1,3,"I",0.038
20,1,3,"I",0.044
21,1,3,"I",0.054
22,1,3,"I",0.059
23,1,3,"I",0.065
24,1,3,"I",0.074
25,1,3,"I",0.084
26,1,3,"I",0.096
27,1,3,"I",0.105
28,1,3,"I",0.112
29,1,3,"I",0.13
30,1,3,"I",0.146
31,1,3,"I",0.175
32,1,3,"I",0.195
33,1,3,"I",0.21
34,1,3,"I",0.24
35,1,3,"I",0.264
36,1,3,"I",0.279
37,1,3,"I",0.314
38,1,3,"I",0.335
39,1,3,"I",0.369
40,1,3,"I",0.39
41,1,3,"I",0.419
42,1,3,"I",0.448
43,1,3,"I",0.471
44,1,3,"I",0.496
45,1,3,"I",0.522
46,1,3,"I",0.54
47,1,3,"I",0.546
48,1,3,"I",0.557
49,1,3,"I",0.577
50,1,3,"I",0.596
51,1,3,"I",0.604
52,1,3,"I",0.615
53,1,3,"I",0.627
54,1,3,"I",0.621
55,1,3,"I",0.629
56,1,3,"I",0.613
57,1,3,"I",0.601
58,1,3,"I",0.594
59,1,3,"I",0.589
60,1,3,"I",0.59
61,1,3,"I",0.587
62,1,3,"I",0.583
63,1,3,"I",0.581
64,1,3,"I",0.572
65,1,3,"I",0.566
66,1,3,"I",0.564
67,1,3,"I",0.562
68,1,3,"I",0.563
69,1,3,"I",0.556
70,1,3,"I",0.548
71,1,3,"I",0.545
72,1,3,"I",0.542
73,1,3,"I",0.551
74,1,3,"I",0.544
75,1,3,"I",0.544
